,result,provider,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,time_eol_unix,base_code,rates
LKR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,294.560352
LRD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,170.234174
LSL,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,19.689781
LYD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,4.82288
MAD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,10.166849
MDL,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,17.786992
MGA,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,4392.531682
MKD,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,57.389552
MMK,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,2101.61096
MNT,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,3493.856635
MOP,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,8.068265
MRU,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,34.391396
MUR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,45.528229
MVR,success,https://www.exchangerate-api.com,https://www.exchangerate-api.com/docs/free,https://www.exchangerate-api.com/terms,1685491351,"Wed, 31 May 2023 00:02:31 +0000",1685578381,"Thu, 01 Jun 2023 00:13:01 +0000",0,USD,15.445724
